product_id,rating,timestamp,text,size,color
461679701,5,1574375685,"I absolutely love it. Its a well balanced jacket and just what i was looking for. Its light enough to be worn in warmer weather , with an inner material that provides enough weight and warmth for colder weather.",,
461679701,5,1574325127,This is actually a WELL MADE hoodie cape/jacket. I highly recommend! Material is perfect for colder temps.,,
461679701,5,1574268321,Omg man this is the best oversized hoodie and gothic style cardigan you will ever find its long and it look so cool...,,
461679701,5,1578406066,Very happy with the product,M,DARK GRAY
461679701,5,1577795709,Awesome.,L,BLACK
461679701,5,1577393652,amezing,M,BLACK
461679701,5,1577061380,my son will love  very mid evil urban,L,BLACK
461679701,5,1578824137,Very nice and it looks and fits exactly as it should,M,ARMY GREEN
461679701,5,1578684533,It’s really nice and formed fitting,M,DARK GRAY
461679701,5,1578511205,"The Hoodie is awesome! It was also true to size, color and material . My boyfriend loves it and put it on right away! Thank you!",L,RED WINE
461679701,5,1578455876,Super soft inside and fits well with adjustable sizing on the sides. Excellent to see how it holds up,2XL,BLACK
461679701,5,1579931057,Love this hoodie in this color!,S,BLACK
461679701,5,1579931026,Very warm,S,LIGHT BROWN
461679701,5,1579804402,"Size fits good, quality was fine, glad to wear!",M,DARK GRAY
461679701,5,1579278433,"It fits perfectly, feels great and, it's warm. I keep getting asked where I got it and I keep sending them here.",L,BLACK
461679701,5,1595631056,Brilliant thank you ! It fits really well.n,XL,DARK GRAY
461679701,5,1594559012,"It's warm, looks good, a bit too thick for a sunny summer day, but perfect for northern European weather all year around. The only thing that could drag the score down is that the knots might untie and the ends of the laces start to unfold, but easily fixed by just making another knot.",L,BLACK
461679701,5,1590260979,fits nice,M,DARK GRAY
461679701,5,1580906108,With a height of 185 and an average build... Perfect!,2XL,BLACK
229971203,5,1563822151,"In der Schweiz trage ich  L, bestellt habe ich XL, damit es passt. Bei den T-Shirts ist XL aber auch zu klein!",XL,NAVY BLUE
229971203,5,1563822015,"In der Schweiz trage ich Grösse L. Bestellt habe ich XL, damit es passt.",XL,multicolor
229971203,5,1532178911,Cute Hoodie.  Right to wearing on christmas morning and opening presents. Print and quality is very good.,3XL,multicolor
229971203,5,1510882482,love,XL,multicolor
455241404,5,1571935504,"i was a bit surprised about the material, but application is even better in person. we will see how it holds up after couple of washing. so far, so goodn",L,WHITE
455241404,5,1571665723,Feels smooth and looks cool. Very pretty image and nice colour utilisation.,S,YELLOW
455241404,5,1571631898,"great! feels very comfortable. had to order 2xl to fit length, I'm tall and skinny. I'd order a size larger than normal",2XL,multicolor A
455241404,5,1571176644,clean ass hoodien,2XL,multicolor A
229971203,5,1608569431,nice shirt fits well. nice  bright colors.,M,DARK FOREST GREEN
229971203,5,1608569332,nice shirt. fits well. nice bright colors,L,DARK FOREST GREEN
229971203,5,1576917276,So festive,2XL,multicolor
229971203,5,1576917232,Loved it,2XL,DARK FOREST GREEN
455241404,5,1569735305,I love it! It fits perfict and the design is amazing. defiantly worth the money,XL,RED
455241404,5,1569668462,"I used the measure chart and the size was perfect for me. The material is spantex and polyester. It's looks like the picture. The picture on this hoodie is good. The delivery arrived in 10 days, I'm from Germany.",XL,RED
455241404,4,1569016704,The item arrived on time and the package was in a good state. The design of the hoodie is awesome however the material could have been better.,M,WHITE
455241404,5,1568903942,"perfect, very beautiful",L,WHITE
455241404,5,1571161268,This hoodie looks amazing in real life. The perfect gift for a teenager,L,WHITE
