product_id,product_url,name,discount,discounted_price,original_price,total_reviews,product_info
471055701,https://www.dresslily.com/flower-contrast-striped-pattern-casual-product8375167.html,Flower Contrast Striped Pattern Casual Hoodie,0,0,29.99,0,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Flower,Striped;Material:Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.6000kg;Package Contents:1 x Hoodie;"
456658629,https://www.dresslily.com/ombre-print-curved-hem-raglan-product8172683.html,Ombre Print Curved Hem Raglan Sleeve Sport Hoodie,0,0,29.99,0,"Clothes Type:Hoodie;Occasion:Club,Daily,Dance,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Closure Type:Zipper;Patterns:Ombre;Season:Fall,Spring;Weight:0.5600kg;Package Contents:1 x Hoodie;"
273384903,https://www.dresslily.com/vintage-tree-print-pullover-sweatshirt-product4460316.html,Vintage Tree Print Pullover Sweatshirt,4,29.98,31.27,0,"Material:Polyester,Polyurethane;Pattern:Print;Shirt Length:Regular;Sleeve Length:Full;Style:Casual;Package Contents:1 x Sweatshirt;Weight:0.3590kg;"
473554201,https://www.dresslily.com/fire-flame-print-ombre-hoodie-product8357744.html,Fire Flame Print Ombre Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Flame;Season:Fall,Spring,Winter;Weight:0.5400kg;Package Contents:1 x Hoodie;"
457727703,https://www.dresslily.com/halloween-skull-flower-contrast-color-product8196633.html,Halloween Skull Flower Contrast Color Print Pullover Hoodie,0,0,29.99,0,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Flower,Print,Skulls;Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring;Weight:0.5500kg;Package Contents:1 x Hoodie;"
234349309,https://www.dresslily.com/crew-neck-fleece-mens-sweatshirt-product2620228.html,Crew Neck Fleece Mens Sweatshirt,0,0,26.99,0,"Style:Casual;Pattern Type:Solid;Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Weight:0.5500kg;Package Contents:1 x Sweatshirt;"
461060903,https://www.dresslily.com/christmas-pattern-naked-belly-print-product8219834.html,Christmas Pattern Naked Belly Print Casual Hoodie,0,0,22.99,0,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily,Festival,Going Out,Night Out,Sports;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Candy,Geometric,Print;Season:Fall,Spring,Winter;Weight:0.4400kg;Package Contents:1 x Hoodie;"
470379402,https://www.dresslily.com/halloween-skeleton-print-front-pocket-product8334601.html,Halloween Skeleton Print Front Pocket Pullover Hoodie,21,29.99,37.79,0,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Skeleton;Season:Fall,Spring;Weight:0.5200kg;Package Contents:1 x Hoodie;"
470275702,https://www.dresslily.com/marvel-spider-man-print-graphic-product8354694.html,Marvel Spider-Man Print Graphic Hoodie,0,0,26.99,0,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Graphic,Letter;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring;Weight:0.5950kg;Package Contents:1 x Hoodie;"
470274005,https://www.dresslily.com/marvel-spider-man-pattern-casual-product8354692.html,Marvel Spider-Man Pattern Casual Hoodie,0,0,26.99,0,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Character,Print;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5120kg;Package Contents:1 x Hoodie;"
461640909,https://www.dresslily.com/christmas-animal-graphic-faux-tuxedo-product8228753.html,Christmas Animal Graphic Faux Tuxedo Drawstring Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie;"
252485901,https://www.dresslily.com/3d-hearts-print-valentine-s-product2767391.html,3D Hearts Print Valentine's Day Sweatshirt,0,0,22.99,0,"Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Style:Fashion;Weight:0.4500kg;Package Contents:1 x Sweatshirt;"
270148608,https://www.dresslily.com/drawstring-lace-up-solid-color-product3185905.html,Drawstring Lace Up Solid Color Sleeveless Hoodie,64,12.99,35.86,3,"Clothes Type:Hoodie;Occasion:Club,Daily,Daily Use,Festival,Going Out,Home,Night Out,Office,Party,Rainy Day,Sports,Travel,Vacation,Work;Style:Trendy;Fit Type:Regular;Sleeve Length:Sleeveles;Material:Cotton,Polyester,Spandex;Thickness:Regular;Patterns:Solid;Season:Summer;Weight:0.3110kg;Package Contents:1 x Hoodie;"
470269001,https://www.dresslily.com/marvel-spider-man-lightning-print-product8354683.html,Marvel Spider-Man Lightning Print Kangaroo Pocket Hoodie,0,0,29.99,0,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Character,Print;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;"
454679401,https://www.dresslily.com/halloween-bat-graphic-kangaroo-pocket-product8164611.html,Halloween Bat Graphic Kangaroo Pocket Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.4950kg;Package Contents:1 x Hoodie;"
455766005,https://www.dresslily.com/color-panel-fleece-pullover-hoodie-product8177914.html,Color Panel Fleece Pullover Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Color Block;Season:Winter;Weight:0.4600kg;Package Contents:1 x Hoodie;"
454682403,https://www.dresslily.com/vertigo-effect-circle-graphic-front-product8152631.html,Vertigo Effect Circle Graphic Front Pocket Hoodie,0,0,26.99,1,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Round;Season:Fall,Spring;Weight:0.4950kg;Package Contents:1 x Hoodie;"
471248402,https://www.dresslily.com/halloween-cartoon-pumpkin-pattern-drawstring-product8345317.html,Halloween Cartoon Pumpkin Pattern Drawstring Pullover Hoodie,41,24.59,41.83,0,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Pumpkin;Season:Fall,Spring;Weight:0.5000kg;Package Contents:1 x Hoodie;"
