product_id,rating,timestamp,text,size,color
378240102,5,1572000412,medieval design with nice collar,L,BLACK
256650204,5,1573786154,love it,4XL,COLORMIX
256650204,5,1573643164,"amazing color, the guy I bought it for loves it",L,RED
256650204,5,1545768075,"Не то, что я ожидал, в описании хлопок и полиэстер, на самом деле из хлопка там только шнурок на капюшоне- голая синтетика. По рзамеру 3XL на 50 размер, рукава короткие, общем разочарование полное :(",3XL,COLORMIX
256650204,5,1576070805,I love them.. great material. just what I expected.n,2XL,ORANGE
256650204,5,1575799479,great gift. true to size.,4XL,RED
256650204,5,1575756638,My sons favourite jumper I’ve washed it lots and it hasn’t faded,M,GREEN
256650204,5,1574196372,fits well,4XL,ORANGE
256650204,5,1580816771,My son loves this,M,MEDIUM TURQUOISE
256650204,5,1577421443,check size chartnn,M,COLORMIX
256650204,4,1576902118,very vibrant,3XL,COLORMIX
256650204,5,1576086690,great sweatshirt!!,XL,RED
256650204,5,1606291269,"nice hoodie, love the esthetics. fabric is nice and comfortable on the skin. not too hot so it can be used for summer aswell",L,ORANGE
256650204,5,1584034631,he loved it,XL,COLORMIX
256650204,5,1583826882,great product... fits perfect my hubby loves it!!,2XL,RED
256650204,5,1581864891,loved it!,M,MEDIUM TURQUOISE
378240102,5,1599582205,Good quality,L,BLACK
378240102,5,1585971567,Boyfriend loves it I can’t get it off him,M,BLACK
378240102,5,1583180654,my husband loves this hoodie,L,ARMY GREEN
378240102,4,1579227713,Very cool. My boyfriend loves it!,XL,BLACK
378240102,4,1606292302,"Carina, molto calda. Un po'di incertezza iniziale su come montare la visiera ma poi fa il suo effetto",M,BLACK
378240102,5,1602007681,"very good item, face masks can be remooved if not needed",M,BLUE GRAY
378240102,5,1601161288,Nice product,M,BLACK
378240102,5,1600511251,💯,S,BLACK
464768505,4,1589417151,j'aime bien la matière mais c'est asser léger,L,multicolor
308423601,5,1544268180,,M,GREEN
462743203,5,1577747350,it is a perfect fit,2XL,WHITE
462743203,5,1583459995,I like it very much. Want to buy another,,
462743203,5,1583273261,Thank you very much!!!!,,
462743203,5,1583056618,"Bought for my boyfriend, very nice！",,
462743203,5,1580783934,I love it.,,
293890915,5,1562260014,Very good hoodie,XL,CARBON GRAY
293890915,5,1545681114,It was a good fit just had to fix the thread it wasn’t secured,L,CAMEL BROWN
293890915,5,1541820883,"good quality, and the size arrive great, thank you",XL,CAMEL BROWN
462743203,5,1594578095,This is the softest sweatshirt I have ever felt!,S,WHITE
462743203,5,1593129312,thankz!!!💯it came fast just in tiime for trip!!!Thank You!!!😁,2XL,WHITE
462743203,5,1588767632,Jumper came on time right size and very comfortable and it is perfect I love it,M,WHITE
462743203,5,1583502085,The price at the time of purchase was $ 28. I think the quality of the clothes at this price is very good.,,
293890915,5,1571288876,I hope I get it.,S,CARBON GRAY
293890915,4,1570241595,"el color es el indicado, solo la talla es un poco grande",XS,RED WINE
293890915,5,1566145419,"I was a little doubtful at the beginning because of some reviews I read, but overall it’s a nice looking hoodie and the material isn’t all that bad for the price",M,LIGHT GRAY
293890915,5,1564449121,Nice,S,CAMEL BROWN
293890915,5,1577255217,size is right on. Item is just as it says.,M,CARBON GRAY
293890915,5,1574836644,Amazing,M,CARBON GRAY
293890915,5,1572616551,muy buenos súper cálido y llego súper rápido,XL,CARBON GRAY
293890915,5,1571333917,"Fits comfortably, looks exactly like the picture.",L,RED WINE
293890915,5,1589574774,"very awesome hoodie, it is warm and it is very convenient for everyday wear.",L,LIGHT GRAY
293890915,5,1584862846,Buy this sweatshirt. Amazingly warm. high hoodie collar is cool design. best 20 dollars you can ever spend.,L,CARBON GRAY
293890915,5,1584862112,Best 20 dollars money can buy.  I have four of these in different colors. size is consistent with what you think you are,L,CAMEL BROWN
293890915,5,1580018881,Good looking hoodie,L,CARBON GRAY
293890915,5,1580018791,Really warm hoodie,M,CARBON GRAY
293890915,4,1579129129,Came in good shape. Comfortable,L,RED WINE
293890915,4,1579129109,Came in good shape. Quality is lower than expected but it’s comfortable and looks nice.,L,CAMEL BROWN
293890915,5,1577806250,Really comfortable and soft,M,CARBON GRAY
293890915,4,1602722609,Fits pretty good. The string location is off but fits my fiancé well.,2XL,CARBON GRAY
293890915,5,1601581082,Fits perfect,M,CARBON GRAY
293890915,5,1600350352,this was a perfect fit and so soft and warm. my boyfriend loves it and I love to borrow it from him.,L,CARBON GRAY
293890915,5,1594390346,"Excellent! Sheer gray, though she stands out. It is worth paying attention to the overlay under the neck. Simple myk, and the sweatshirt is not so simple. It goes with everything. My colleague wears it with pleasure. Fast delivery.",S,LIGHT GRAY
280451201,5,1564113858,"Perfect fit, comfortable to wear and looks great!",XL,BLACK
280451201,5,1547724256,"The item satisfies my needs.   + it's from a nice material + fits very well  + is surprisingly warm + looks good + the item was delivered on time + ressembles a jacket and can both be used as a casual piece or a little more elegant  - a minor fault but the material could be a little more ""thicker""  - the fact it's open front (no zipper etc.) makes it an item mostly for ""looks""  Those two little faults are just personal dislikes and one of them already mentioned in the item specifics (open ended). Overall the item is high quality, comfy and good looking soo I wholeheartedly recommend it.",M,RED WINE
280451201,5,1541783519,Good quality but i would advise going a size up maybe but overall I HAD NO ISSUES!! ,L,BLACK
470527203,5,1606525953,Son in law loves his hoodie,L,BLACK
280451201,5,1572000443,it's like a snuggle cardigan!,L,LIGHT GRAY
280451201,5,1568684203,Amazing Quatity,M,BLACK
280451201,5,1567658617,"Received it on time, good quality, Trust worthy!",XL,RED WINE
280451201,5,1564840015,"The size guide was perfect, except that Ive been hitting the gym and I'm a little overgrown around the arms now. It still looks fantastic and fits really well!",XL,RED WINE
280451201,5,1578824233,Very comfortable and fitting,M,GREEN
280451201,5,1573406814,Ok,M,BLACK
280451201,5,1573267202,Received this item and My girlfriend stole it from me. It's that good!,XL,LIGHT GRAY
280451201,5,1572119864,"this is awesome, perfect match with my suit",M,LIGHT GRAY
464758303,5,1606718056,Very happy with product,XL,multicolor
464758303,5,1599250438,This is exactly what I've been looking for. An athletic fitting shirt made of nice fabric. It feels really comfortable and is easy to iron out of the dryer.,,
457577604,5,1571968218,cool,M,BLACK
457577604,5,1588445157,"love this, love how soft it is. my whole order consisted of 4 hoodies and to shirt's, I am pleased with everything and shipping and delivery was fast. you got a shopper for life. Thank you.",2XL,BLACK
457577604,5,1582007152,My boyfriend loved it!,L,BLACK
457577604,5,1575854051,It’s amazing,L,BLACK
457577604,4,1574627275,perfevtct,2XL,BLACK
457577604,5,1606525905,Came larger then expected need to reorder,M,BLACK
457577604,5,1603407893,great looking hoodie!,XL,BLACK
457577604,5,1601467500,"Good quality. I got the size wrong, it's a little bit bigger than my usual one.  But I must say that it is very, very comfortable.",2XL,BLACK
457577604,4,1588843707,"Decent sweater, love the design, the material is so polyester it's probably water proof which makes it hard for your skin to breathe in, but I'm still gonna wear it all the time. 😏",M,BLACK
474383304,5,1609081387,my boyfriend seriously loved his hoodie. I'm buying another for my brother in law. n,M,BLACK
286509805,5,1597597789,my brother's favorite jacket now,3XL,MEDIUM SEA GREEN
465236106,5,1592765664,Great fabric. True to size,2XL,multicolor
455764716,5,1599709774,perfect,XL,LIGHT GRAY
470995602,5,1598694311,Oh my! Just love this sweatshirt. Brings back lots of college memories and living off of ramen. My friends think it so funny and iconic. It fit as expected and is very well made. Happy with purchase.,,
277484507,5,1604366336,Just what I wanted,M,GREEN
277484507,5,1579077174,"Amazing. Lightweight, festive enough to make my mom laugh on Christmas Eve,  and comfortable.",2XL,GREEN
284093001,5,1576039380,love it. cant wait to see my boyfriend in it,M,multicolor
273608104,5,1606112704,passt perfekt,2XL,PLATINUM
327522510,5,1541500315,I am happy I have this for Christmas parties to come.This hoodie was a total hit at every Christmas party I wore it to! I cannot tell you how many times I was asked where I got it from :-) I am happy I have this for Christmas parties to come!,,
327522510,5,1541413503,"I bought one for my husband, it's very fit for him and so christmas! We are really really love it!",,
327522510,5,1541327330,"You know what is hard about reviewing this sweater. I am really need a holiday-type clothes for christmas. Is the pattern busy? Yes. It is Christmas colored? Yes. It is a nice, soft hoodie that will probably be worn for a while after the holiday season. It washes well and still looks nice.",,
327522510,5,1541154627,Nice product. Thank you,,
327522510,5,1607267179,bought for my husband and he we both love it,L,multicolor
327522510,5,1606294515,Fits well :),3XL,SHAMROCK GREEN
327522510,5,1575587658,Perfect fit!,XL,BLACK
327522510,5,1574119792,Looks as pictured and fits as expected,XL,COBALT BLUE
327522510,5,1548139939,Satisfactory Customer Service,L,BLACK
327522510,5,1546373601,"I was happy to get the item on time and there sizes are perfect when you use there information checklist you can't go wrong, that's always been a worrying issue for me when buying sized items online but no problems with Dreslily there measurements are 100% perfect to ratio, Thanks heaps guys.",3XL,COBALT BLUE
