product_id,product_url,name,discount,discounted_price,original_price,total_reviews,product_info
473396403,https://www.dresslily.com/christmas-conch-beach-print-kangaroo-product8366250.html,Christmas Conch Beach Print Kangaroo Pocket Hoodie,49,22.99,44.99,0,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Others;Season:Fall,Winter;Weight:0.5600kg;Package Contents:1 x Hoodie;"
401726701,https://www.dresslily.com/3d-cat-printed-pullover-sweatshirt-product7861793.html,3D Cat Printed Pullover Sweatshirt,58,12.99,31.04,0,"Clothes Type:Hoodie;Occasion:Daily Use,Going Out;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal;Season:Fall,Winter;Weight:0.4000kg;Package Contents:1 x Sweatshirt;"
473395104,https://www.dresslily.com/christmas-snowflake-cat-3d-print-product8366246.html,Christmas Snowflake Cat 3D Print Kangaroo Pocket Hoodie,46,22.99,42.64,0,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal;Season:Fall,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie;"
455469016,https://www.dresslily.com/two-tone-striped-sleeve-zip-product8152698.html,Two Tone Striped Sleeve Zip Up Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Daily;Style:Brief;Fit Type:Loose;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Closure Type:Zipper;Patterns:Stripe;Season:Fall,Spring;Weight:0.6200kg;Package Contents:1 x Hoodie;"
308340403,https://www.dresslily.com/christmas-cat-print-long-sleeve-product5427093.html,Christmas Cat Print Long Sleeve Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Animal;Season:Fall,Winter;Weight:0.4780kg;Package Contents:1 x Hoodie;"
473534304,https://www.dresslily.com/graffiti-pattern-casual-front-pocket-product8357737.html,Graffiti Pattern Casual Front Pocket Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.5100kg;Package Contents:1 x Hoodie;"
470651003,https://www.dresslily.com/graffiti-graphic-pattern-casual-hoodie-product8346650.html,Graffiti Graphic Pattern Casual Hoodie,0,0,26.99,0,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Graphic;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5100kg;Package Contents:1 x Hoodie;"
286994301,https://www.dresslily.com/men-s-long-sleeve-hoodie-product6159524.html,Men's Long Sleeve Hoodie 3D Print,0,0,26.99,0,"Material:Polyester,Spandex;Clothes Type:Hoodie;Occasion:Casual ,Daily Use;Product weight:0.4500 kg;Package weight:0.6000 kg;Package Contents:1 x Hoodie;"
286515402,https://www.dresslily.com/christmas-tree-blazer-print-drawstring-product4664196.html,Christmas Tree Blazer Print Drawstring Hoodie,36,22.99,36.17,0,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily,Daily Use,Festival,Going Out,Home,Night Out;Style:Novelty;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:3D Print,Christmas Tree;Season:Fall;Weight:0.4110kg;Package Contents:1 x Hoodie;"
455770312,https://www.dresslily.com/raglan-sleeve-fleeces-drawstring-hoodie-product8175061.html,Raglan Sleeve Fleeces Drawstring Hoodie,0,0,26.99,0,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Color Block;Season:Fall,Winter;Weight:0.4600kg;Package Contents:1 x Hoodie;"
